Zipcode,EstimatedPopulation,TotalWages,Result
2903,5160.0,156882227.0,30403.532364341085
2904,88656.0,1896213752.0,21388.44242916441
2905,38012.0,681475978.0,17927.916920972326
2906,17860.0,707310271.0,39603.03868980963
2907,40936.0,498028456.0,12166.026382646081
2908,73404.0,1299726369.0,17706.478788621873
2909,27797.0,379662381.0,13658.394107277763
2910,36700.0,791012808.0,21553.48250681199
2911,86268.0,1984431806.0,23003.10434923726
2912,1449.0,13833666.0,9547.04347826087
2914,34436.0,654583568.0,19008.69926820769
2915,28696.0,658316886.0,22941.067953721773
2916,14536.0,380305648.0,26163.01926252064
2917,20266.0,576096204.0,28426.7346294286
2919,47932.0,1107364424.0,23102.821163314697
2920,28279.0,599488343.0,21199.06442943527
2921,10886.0,369191306.0,33914.32169759324
2940,964.0,20811152.0,21588.33195020747
3031,10851.0,459785171.0,42372.608146714585
3032,4763.0,148714262.0,31222.813772832247
3033,4472.0,162116711.0,36251.50067084079
3034,3789.0,108947848.0,28753.720770651886
3036,4295.0,140628082.0,32742.27753201397
3037,3869.0,104944716.0,27124.50659085035
3038,59144.0,1577022508.0,26664.116529149196
3042,5578.0,139460988.0,25001.969881678022
3043,1463.0,39778092.0,27189.3998632946
3044,3744.0,101363128.0,27073.485042735043
3045,11820.0,324964416.0,27492.759390862942
3046,4880.0,151185176.0,30980.568852459015
3047,1441.0,31764762.0,22043.554476058292
3048,5706.0,148711612.0,26062.32246757799
3049,7556.0,363749824.0,48140.52726310217
3051,22261.0,643785161.0,28919.867076950723
3052,7558.0,239272517.0,31658.179015612597
3053,22127.0,694316492.0,31378.6998689384
3054,24084.0,778515881.0,32325.024123899686
3055,13156.0,341975353.0,25993.86994527212
3057,6660.0,215038104.0,32288.003603603604
3060,22531.0,499741938.0,22180.19342239581
3061,749.0,15744432.0,21020.60347129506
3062,24132.0,830284843.0,34405.96896237361
3063,14547.0,448354044.0,30821.06578676016
3064,11911.0,317056436.0,26618.79237679456
3070,4693.0,151620326.0,32307.761772853184
3071,4132.0,103256538.0,24989.481606969992
3076,11839.0,366493993.0,30956.49911310077
3077,9270.0,229584578.0,24766.405393743258
3079,26049.0,714089826.0,27413.32972474951
3082,2788.0,75010300.0,26904.698708751792
3084,1219.0,30643147.0,25137.938474159146
3086,3655.0,96939434.0,26522.416963064294
3087,12419.0,519205059.0,41807.316128512764
3101,2104.0,60412909.0,28713.359790874525
3102,47064.0,1012456458.0,21512.333375828657
3103,28024.0,567419938.0,20247.642663431343
3104,26506.0,734393142.0,27706.675545159585
3105,489.0,11199293.0,22902.439672801636
3106,23578.0,679864826.0,28834.711425905505
3108,775.0,21982066.0,28363.956129032256
3109,9076.0,240364485.0,26483.526333186426
3110,38368.0,1805034928.0,47045.32235195996
3216,1775.0,34349874.0,19352.041690140846
3217,1929.0,34793589.0,18037.11197511664
3218,1040.0,22542745.0,21675.716346153848
3220,6141.0,129018031.0,21009.286923953754
3221,3802.0,79190338.0,20828.60021041557
3222,14067.0,266879727.0,18972.04286628279
3223,11250.0,211677864.0,18815.810133333332
3224,2165.0,56186081.0,25952.000461893764
3225,6084.0,132621364.0,21798.383300460224
3226,6612.0,177078114.0,26781.32395644283
3227,2643.0,44029539.0,16658.925085130533
3229,10710.0,328969672.0,30716.122502334267
3230,985.0,18809681.0,19096.122842639594
3234,4174.0,96794392.0,23189.839961667465
3235,20460.0,376528371.0,18403.146187683284
3237,2180.0,52188597.0,23939.723394495413
3240,1038.0,18808775.0,18120.20712909441
3241,2884.0,45992324.0,15947.40776699029
3242,3693.0,96483128.0,26125.948551313297
3243,938.0,18061100.0,19254.904051172707
3244,27584.0,587688976.0,21305.429814385152
3245,1676.0,35267709.0,21042.785799522673
3246,38556.0,785037771.0,20360.975490196077
3247,5676.0,131341784.0,23139.84918957012
3249,12006.0,304946308.0,25399.492587039815
3251,1455.0,27642293.0,18998.139518900345
3253,5790.0,135445606.0,23393.023488773746
3254,6380.0,133255098.0,20886.378996865205
3255,5106.0,120704565.0,23639.750293772035
3256,1819.0,39776313.0,21867.131940626718
3257,7608.0,191339792.0,25149.814931650893
3258,4366.0,105947214.0,24266.425561154374
3260,1158.0,22499624.0,19429.727115716752
3261,3887.0,89751963.0,23090.291484435296
3262,2024.0,32065604.0,15842.689723320158
3263,3366.0,66584992.0,19781.637551990494
3264,7980.0,162186360.0,20324.105263157893
3266,7544.0,119906756.0,15894.320784729587
3268,1116.0,25260272.0,22634.652329749104
3269,2620.0,60694643.0,23165.89427480916
3275,30531.0,703733694.0,23049.808194949397
3276,13784.0,300519376.0,21802.044109112016
3278,5280.0,121178350.0,22950.445075757576
3279,652.0,9652965.0,14805.161042944785
3280,902.0,14819492.0,16429.59201773836
3281,7854.0,204865774.0,26084.259485612427
3282,806.0,13482596.0,16727.786600496278
3284,2028.0,37887915.0,18682.403846153848
3285,2070.0,37736206.0,18230.05120772947
3287,3168.0,70095741.0,22126.18087121212
